data,visitas,vendas_unidades_pagas,cancelamentos_unidades,preco_transacao_observado,preco_anuncio_historico,promocao_ativa_historica,status_historico,frete_gratis_historico,tipo_anuncio_observado,logistica_historica,marcador_inflexao
2026-05-05,24,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-06,9,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-07,12,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-08,14,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-09,10,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-10,18,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-11,23,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-12,12,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-13,19,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-14,18,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-15,18,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-16,24,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-17,25,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-18,15,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-19,41,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-20,69,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-21,136,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-22,60,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-23,143,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-24,109,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-25,110,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-26,94,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-27,64,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-28,97,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-29,97,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-30,81,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-05-31,105,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-01,86,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-02,66,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-03,86,1,0,160,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-04,86,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-05,67,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-06,66,1,0,160,sem dado,sem dado,sem dado,sem dado,gold_pro,sem dado,
2026-06-07,63,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-08,76,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-09,25,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
2026-06-10,19,0,0,,sem dado,sem dado,sem dado,sem dado,sem dado,sem dado,
